id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produktivitas_padi2,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,63.26,KUINTAL PER HEKTAR,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,57.84,KUINTAL PER HEKTAR,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,59.41,KUINTAL PER HEKTAR,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,59.5,KUINTAL PER HEKTAR,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,60.79,KUINTAL PER HEKTAR,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,68.78,KUINTAL PER HEKTAR,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,59.91,KUINTAL PER HEKTAR,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,60.65,KUINTAL PER HEKTAR,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,57.96,KUINTAL PER HEKTAR,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,61.28,KUINTAL PER HEKTAR,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,59.09,KUINTAL PER HEKTAR,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,65.62,KUINTAL PER HEKTAR,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,61.97,KUINTAL PER HEKTAR,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,56.12,KUINTAL PER HEKTAR,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,64.33,KUINTAL PER HEKTAR,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,53.96,KUINTAL PER HEKTAR,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,57.31,KUINTAL PER HEKTAR,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,55.41,KUINTAL PER HEKTAR,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,58.06,KUINTAL PER HEKTAR,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,65.66,KUINTAL PER HEKTAR,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,63.71,KUINTAL PER HEKTAR,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,51.97,KUINTAL PER HEKTAR,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,57.01,KUINTAL PER HEKTAR,2015
24,32,JAWA BARAT,3276,KOTA DEPOK,59.76,KUINTAL PER HEKTAR,2015
25,32,JAWA BARAT,3277,KOTA CIMAHI,68.95,KUINTAL PER HEKTAR,2015
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,54.58,KUINTAL PER HEKTAR,2015
27,32,JAWA BARAT,3279,KOTA BANJAR,62.34,KUINTAL PER HEKTAR,2015
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,63.33,KUINTAL PER HEKTAR,2016
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,56.31,KUINTAL PER HEKTAR,2016
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,56.8,KUINTAL PER HEKTAR,2016
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,57.38,KUINTAL PER HEKTAR,2016
32,32,JAWA BARAT,3205,KABUPATEN GARUT,61.75,KUINTAL PER HEKTAR,2016
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,61.36,KUINTAL PER HEKTAR,2016
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,62.05,KUINTAL PER HEKTAR,2016
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,60.65,KUINTAL PER HEKTAR,2016
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,60.36,KUINTAL PER HEKTAR,2016
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,64.41,KUINTAL PER HEKTAR,2016
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,60.29,KUINTAL PER HEKTAR,2016
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,65.31,KUINTAL PER HEKTAR,2016
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,61.84,KUINTAL PER HEKTAR,2016
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,53.44,KUINTAL PER HEKTAR,2016
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,61.02,KUINTAL PER HEKTAR,2016
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,53.4,KUINTAL PER HEKTAR,2016
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,61.59,KUINTAL PER HEKTAR,2016
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,59.97,KUINTAL PER HEKTAR,2016
46,32,JAWA BARAT,3271,KOTA BOGOR,59.73,KUINTAL PER HEKTAR,2016
47,32,JAWA BARAT,3272,KOTA SUKABUMI,63.45,KUINTAL PER HEKTAR,2016
48,32,JAWA BARAT,3273,KOTA BANDUNG,55.0,KUINTAL PER HEKTAR,2016
49,32,JAWA BARAT,3274,KOTA CIREBON,59.29,KUINTAL PER HEKTAR,2016
50,32,JAWA BARAT,3275,KOTA BEKASI,56.92,KUINTAL PER HEKTAR,2016
51,32,JAWA BARAT,3276,KOTA DEPOK,59.11,KUINTAL PER HEKTAR,2016
52,32,JAWA BARAT,3277,KOTA CIMAHI,55.95,KUINTAL PER HEKTAR,2016
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,55.73,KUINTAL PER HEKTAR,2016
54,32,JAWA BARAT,3279,KOTA BANJAR,62.12,KUINTAL PER HEKTAR,2016
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,61.86,KUINTAL PER HEKTAR,2017
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,56.4,KUINTAL PER HEKTAR,2017
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,56.13,KUINTAL PER HEKTAR,2017
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,58.74,KUINTAL PER HEKTAR,2017
59,32,JAWA BARAT,3205,KABUPATEN GARUT,64.33,KUINTAL PER HEKTAR,2017
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,66.45,KUINTAL PER HEKTAR,2017
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,58.26,KUINTAL PER HEKTAR,2017
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,62.79,KUINTAL PER HEKTAR,2017
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,54.91,KUINTAL PER HEKTAR,2017
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,64.48,KUINTAL PER HEKTAR,2017
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,58.92,KUINTAL PER HEKTAR,2017
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,53.12,KUINTAL PER HEKTAR,2017
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,64.33,KUINTAL PER HEKTAR,2017
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,52.88,KUINTAL PER HEKTAR,2017
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,57.33,KUINTAL PER HEKTAR,2017
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,47.35,KUINTAL PER HEKTAR,2017
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,60.24,KUINTAL PER HEKTAR,2017
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,56.16,KUINTAL PER HEKTAR,2017
73,32,JAWA BARAT,3271,KOTA BOGOR,55.11,KUINTAL PER HEKTAR,2017
74,32,JAWA BARAT,3272,KOTA SUKABUMI,58.04,KUINTAL PER HEKTAR,2017
75,32,JAWA BARAT,3273,KOTA BANDUNG,58.47,KUINTAL PER HEKTAR,2017
76,32,JAWA BARAT,3274,KOTA CIREBON,39.63,KUINTAL PER HEKTAR,2017
77,32,JAWA BARAT,3275,KOTA BEKASI,56.01,KUINTAL PER HEKTAR,2017
78,32,JAWA BARAT,3276,KOTA DEPOK,54.86,KUINTAL PER HEKTAR,2017
79,32,JAWA BARAT,3277,KOTA CIMAHI,60.47,KUINTAL PER HEKTAR,2017
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,54.0,KUINTAL PER HEKTAR,2017
81,32,JAWA BARAT,3279,KOTA BANJAR,60.32,KUINTAL PER HEKTAR,2017
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,56.15,KUINTAL PER HEKTAR,2018
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,50.51,KUINTAL PER HEKTAR,2018
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,55.45,KUINTAL PER HEKTAR,2018
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,56.92,KUINTAL PER HEKTAR,2018
86,32,JAWA BARAT,3205,KABUPATEN GARUT,54.44,KUINTAL PER HEKTAR,2018
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,57.3,KUINTAL PER HEKTAR,2018
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,57.02,KUINTAL PER HEKTAR,2018
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,62.15,KUINTAL PER HEKTAR,2018
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,54.0,KUINTAL PER HEKTAR,2018
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,60.75,KUINTAL PER HEKTAR,2018
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,53.68,KUINTAL PER HEKTAR,2018
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,59.6,KUINTAL PER HEKTAR,2018
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,57.33,KUINTAL PER HEKTAR,2018
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,54.42,KUINTAL PER HEKTAR,2018
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,56.81,KUINTAL PER HEKTAR,2018
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,48.91,KUINTAL PER HEKTAR,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,54.21,KUINTAL PER HEKTAR,2018
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,57.49,KUINTAL PER HEKTAR,2018
100,32,JAWA BARAT,3271,KOTA BOGOR,49.16,KUINTAL PER HEKTAR,2018
101,32,JAWA BARAT,3272,KOTA SUKABUMI,58.37,KUINTAL PER HEKTAR,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,63.93,KUINTAL PER HEKTAR,2018
103,32,JAWA BARAT,3274,KOTA CIREBON,51.21,KUINTAL PER HEKTAR,2018
104,32,JAWA BARAT,3275,KOTA BEKASI,52.38,KUINTAL PER HEKTAR,2018
105,32,JAWA BARAT,3276,KOTA DEPOK,52.03,KUINTAL PER HEKTAR,2018
106,32,JAWA BARAT,3277,KOTA CIMAHI,54.29,KUINTAL PER HEKTAR,2018
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,51.02,KUINTAL PER HEKTAR,2018
108,32,JAWA BARAT,3279,KOTA BANJAR,56.02,KUINTAL PER HEKTAR,2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,68.48,KUINTAL PER HEKTAR,2019
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,61.07,KUINTAL PER HEKTAR,2019
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,66.52,KUINTAL PER HEKTAR,2019
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,73.62,KUINTAL PER HEKTAR,2019
113,32,JAWA BARAT,3205,KABUPATEN GARUT,69.04,KUINTAL PER HEKTAR,2019
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,67.88,KUINTAL PER HEKTAR,2019
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,65.81,KUINTAL PER HEKTAR,2019
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,65.99,KUINTAL PER HEKTAR,2019
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,70.21,KUINTAL PER HEKTAR,2019
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,73.56,KUINTAL PER HEKTAR,2019
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,65.18,KUINTAL PER HEKTAR,2019
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,77.01,KUINTAL PER HEKTAR,2019
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,75.69,KUINTAL PER HEKTAR,2019
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,65.87,KUINTAL PER HEKTAR,2019
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,73.91,KUINTAL PER HEKTAR,2019
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,68.09,KUINTAL PER HEKTAR,2019
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,66.59,KUINTAL PER HEKTAR,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,71.02,KUINTAL PER HEKTAR,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,62.17,KUINTAL PER HEKTAR,2019
128,32,JAWA BARAT,3272,KOTA SUKABUMI,76.83,KUINTAL PER HEKTAR,2019
129,32,JAWA BARAT,3273,KOTA BANDUNG,74.21,KUINTAL PER HEKTAR,2019
130,32,JAWA BARAT,3274,KOTA CIREBON,58.89,KUINTAL PER HEKTAR,2019
131,32,JAWA BARAT,3275,KOTA BEKASI,68.77,KUINTAL PER HEKTAR,2019
132,32,JAWA BARAT,3276,KOTA DEPOK,63.3,KUINTAL PER HEKTAR,2019
133,32,JAWA BARAT,3277,KOTA CIMAHI,71.13,KUINTAL PER HEKTAR,2019
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,61.92,KUINTAL PER HEKTAR,2019
135,32,JAWA BARAT,3279,KOTA BANJAR,67.96,KUINTAL PER HEKTAR,2019
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,52.89,KUINTAL PER HEKTAR,2020
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,51.2,KUINTAL PER HEKTAR,2020
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,53.6,KUINTAL PER HEKTAR,2020
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,54.78,KUINTAL PER HEKTAR,2020
140,32,JAWA BARAT,3205,KABUPATEN GARUT,53.13,KUINTAL PER HEKTAR,2020
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,58.67,KUINTAL PER HEKTAR,2020
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,53.48,KUINTAL PER HEKTAR,2020
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,60.31,KUINTAL PER HEKTAR,2020
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,57.9,KUINTAL PER HEKTAR,2020
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,57.59,KUINTAL PER HEKTAR,2020
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,54.34,KUINTAL PER HEKTAR,2020
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,56.72,KUINTAL PER HEKTAR,2020
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,56.39,KUINTAL PER HEKTAR,2020
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,52.71,KUINTAL PER HEKTAR,2020
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,58.37,KUINTAL PER HEKTAR,2020
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,48.97,KUINTAL PER HEKTAR,2020
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,55.61,KUINTAL PER HEKTAR,2020
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,52.48,KUINTAL PER HEKTAR,2020
154,32,JAWA BARAT,3271,KOTA BOGOR,46.47,KUINTAL PER HEKTAR,2020
155,32,JAWA BARAT,3272,KOTA SUKABUMI,59.8,KUINTAL PER HEKTAR,2020
156,32,JAWA BARAT,3273,KOTA BANDUNG,56.74,KUINTAL PER HEKTAR,2020
157,32,JAWA BARAT,3274,KOTA CIREBON,46.49,KUINTAL PER HEKTAR,2020
158,32,JAWA BARAT,3275,KOTA BEKASI,51.52,KUINTAL PER HEKTAR,2020
159,32,JAWA BARAT,3276,KOTA DEPOK,58.32,KUINTAL PER HEKTAR,2020
160,32,JAWA BARAT,3277,KOTA CIMAHI,54.07,KUINTAL PER HEKTAR,2020
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,45.94,KUINTAL PER HEKTAR,2020
162,32,JAWA BARAT,3279,KOTA BANJAR,55.49,KUINTAL PER HEKTAR,2020
